ID,Date,Year,Month,Open,High,Low,Close,1D_r,2D_r,momentum_3,momentum_5,momentum_7,momentum_9,macd_5_3,macd_7_3,macd_7_5,macd_9_3,STOC_3_LOW,STOC_RANGE_3,sto_3,STOC_5_LOW,STOC_RANGE_5,sto_5,STOC_7_LOW,STOC_RANGE_7,sto_7,TPV,SMA_TPV(3),MAD(3),CCI_3,SMA_TPV(5),MAD(5),CCI_5,SMA_TPV(9),MAD(9),CCI_9,UP,DOWN,UP_AVG_3,DOWN_AVG_3,Relative_S_3,rsi_3,UP_AVG_5,DOWN_AVG_5,Relative_S_5,rsi_5,UP_AVG_7,DOWN_AVG_7,Relative_S_7,rsi_7,Slow(9),Slow(7),Slow(5),Fast(3),"macd_5_3","macd_7_3","macd_7_5","macd_9_3"
1,10/30/1986,1986,10,7.31,7.31,7.31,7.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10/31/1986,1986,10,7.34,7.34,7.34,7.34,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11/03/1986,1986,11,7.29,7.29,7.29,7.29,-0.68,-0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11/04/1986,1986,11,7.31,7.31,7.31,7.31,0.27,-0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11/05/1986,1986,11,7.24,7.24,7.24,7.24,-0.96,-0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11/06/1986,1986,11,7.32,7.32,7.32,7.32,1.1,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11/07/1986,1986,11,7.4,7.4,7.4,7.4,1.09,2.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11/10/1986,1986,11,7.38,7.38,7.38,7.38,-0.27,0.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11/12/1986,1986,11,7.35,7.35,7.35,7.35,-0.41,-0.68,-0.68,1.52,0.82,0.55,3.87,4.95,1.09,5,0,0.05,0,0.11,0.16,68.75,0.11,0.16,68.75,7.35,7.3766666667,0.0177777778,-100,7.338,0.0464,17.2413793103,7.3266666667,0.0362962963,42.8571428571,0,3,2.67,1.67,1.6,61.54,3.2,2.4,1.33,57.14,2.57,2.43,1.06,51.43,7.3266666667,7.3271428571,7.338,7.3766666667,3.8666666667,4.9523809524,1.0857142857,5
10,11/13/1986,1986,11,7.33,7.33,7.33,7.33,-0.27,-0.68,-0.68,0.14,0.27,-0.14,-0.27,2.05,2.31,2.44,0,0.05,0,0.01,0.08,12.5,0.09,0.16,56.25,7.33,7.3533333333,0.0177777778,-87.5,7.356,0.0272,-63.7254901961,7.3288888889,0.0345679012,2.1428571429,0,2,0,2.33,0,0,3.2,1.4,2.29,69.57,2.57,2,1.29,56.25,7.3288888889,7.3328571429,7.356,7.3533333333,-0.2666666667,2.0476190476,2.3142857143,2.4444444444
11,11/14/1986,1986,11,7.29,7.29,7.29,7.29,-0.55,-0.82,-0.82,-1.49,0.69,0,-2.67,-0.67,2,0,0,0.06,0,0,0.11,0,0.05,0.16,31.25,7.29,7.3233333333,0.0222222222,-100,7.35,0.032,-125,7.3233333333,0.037037037,-60,0,4,0,3,0,0,1.6,2.2,0.73,42.11,2.29,2.57,0.89,47.06,7.3233333333,7.33,7.35,7.3233333333,-2.6666666667,-0.6666666667,2,0
12,11/17/1986,1986,11,7.22,7.22,7.22,7.22,-0.96,-1.5,-1.5,-2.17,-1.37,-1.23,-3.4,-4.71,-1.31,-3.56,0,0.11,0,0,0.16,0,0,0.18,0,7.22,7.28,0.04,-100,7.314,0.0472,-132.7683615819,7.3155555556,0.0449382716,-141.7582417582,0,7,0,4.33,0,0,0,3.6,0,0,2.29,2.57,0.89,47.06,7.3155555556,7.3271428571,7.314,7.28,-3.4,-4.7142857143,-1.3142857143,-3.5555555556
13,11/18/1986,1986,11,7.27,7.27,7.27,7.27,0.69,-0.27,-0.27,-1.09,-1.76,0.41,-3.2,-6,-2.8,-5.11,0.05,0.07,71.4285714286,0.05,0.13,38.4615384615,0.05,0.18,27.7777777778,7.27,7.26,0.0266666667,25,7.292,0.0384,-38.1944444444,7.3111111111,0.0498765432,-54.9504950495,5,0,1.67,3.67,0.45,31.25,1,3.2,0.31,23.81,1.86,2.57,0.72,41.94,7.3111111111,7.32,7.292,7.26,-3.2,-6,-2.8,-5.1111111111
14,11/19/1986,1986,11,7.19,7.19,7.19,7.19,-1.1,-0.42,-0.42,-1.91,-2.57,-1.78,-3.33,-6.33,-3,-7.89,0,0.08,0,0,0.14,0,0,0.19,0,7.19,7.2266666667,0.0288888889,-84.6153846154,7.26,0.044,-106.0606060606,7.3055555556,0.0560493827,-137.4449339207,0,8,1.67,5,0.33,25,1,4.2,0.24,19.23,0.71,3.71,0.19,16.13,7.3055555556,7.29,7.26,7.2266666667,-3.3333333333,-6.3333333333,-3,-7.8888888889
15,11/20/1986,1986,11,7.19,7.19,7.19,7.19,0,-1.1,-1.1,-1.37,-2.18,-2.84,-1.53,-4.62,-3.09,-7.44,0,0.08,0,0,0.1,0,0,0.16,0,7.19,7.2166666667,0.0355555556,-50,7.232,0.0384,-72.9166666667,7.2911111111,0.0656790123,-102.6315789474,0,0,1.67,2.67,0.63,38.46,1,3.8,0.26,20.83,0.71,3.43,0.21,17.24,7.2911111111,7.2628571429,7.232,7.2166666667,-1.5333333333,-4.619047619,-3.0857142857,-7.4444444444
16,11/21/1986,1986,11,7.17,7.17,7.17,7.17,-0.28,-0.28,-0.28,-0.69,-2.18,-2.85,-2.47,-5.38,-2.91,-8.22,0,0.02,0,0,0.1,0,0,0.16,0,7.17,7.1833333333,0.0088888889,-100,7.208,0.0296,-85.5855855856,7.2655555556,0.0649382716,-98.0988593156,0,2,0,3.33,0,0,1,3.4,0.29,22.73,0.71,3.29,0.22,17.86,7.2655555556,7.2371428571,7.208,7.1833333333,-2.4666666667,-5.380952381,-2.9142857143,-8.2222222222
17,11/24/1986,1986,11,7.11,7.11,7.11,7.11,-0.84,-1.11,-1.11,-2.2,-2.47,-3.27,-2.93,-4.9,-1.97,-7.89,0,0.08,0,0,0.16,0,0,0.18,0,7.11,7.1566666667,0.0311111111,-100,7.186,0.0368,-137.6811594203,7.2355555556,0.0661728395,-126.4925373134,0,6,0,2.67,0,0,1,3.2,0.31,23.81,0.71,3.86,0.19,15.63,7.2355555556,7.2057142857,7.186,7.1566666667,-2.9333333333,-4.9047619048,-1.9714285714,-7.8888888889
18,11/25/1986,1986,11,7.15,7.15,7.15,7.15,0.56,-0.28,-0.28,-0.56,-0.97,-2.46,-1.87,-4.24,-2.37,-7,0.04,0.06,66.6666666667,0.04,0.08,50,0.04,0.16,25,7.15,7.1433333333,0.0222222222,20,7.162,0.0256,-31.25,7.2133333333,0.057037037,-74.025974026,4,0,1.33,2.67,0.5,33.33,0.8,3.2,0.25,20,1.29,3.29,0.39,28.13,7.2133333333,7.1857142857,7.162,7.1433333333,-1.8666666667,-4.2380952381,-2.3714285714,-7
19,11/26/1986,1986,11,7.15,7.15,7.15,7.15,0,0.56,0.56,-0.56,-1.65,-1.92,-1.73,-3.9,-2.17,-5.67,0.04,0.04,100,0.04,0.08,50,0.04,0.16,25,7.15,7.1366666667,0.0177777778,50,7.154,0.0208,-12.8205128205,7.1933333333,0.0444444444,-65,0,0,1.33,2,0.67,40,0.8,1.6,0.5,33.33,1.29,2.29,0.56,36,7.1933333333,7.1757142857,7.154,7.1366666667,-1.7333333333,-3.9047619048,-2.1714285714,-5.6666666667
20,11/28/1986,1986,11,7.15,7.15,7.15,7.15,0,0,0,-0.28,-0.56,-0.97,0.4,-0.86,-1.26,-2.78,0,0,0,0.04,0.06,66.6666666667,0.04,0.08,50,7.15,7.15,0,0,7.146,0.0144,18.5185185185,7.1777777778,0.035308642,-52.4475524475,0,0,1.33,0,1.33,57.14,0.8,1.6,0.5,33.33,0.57,2.29,0.25,20,7.1777777778,7.1585714286,7.146,7.15,0.4,-0.8571428571,-1.2571428571,-2.7777777778
21,12/01/1986,1986,12,7.18,7.18,7.18,7.18,0.42,0.42,0.42,0.98,-0.14,-1.24,1.2,0.29,-0.91,-1.33,0.03,0.03,100,0.07,0.07,100,0.07,0.08,87.5,7.18,7.16,0.0133333333,100,7.148,0.0152,140.350877193,7.1733333333,0.0303703704,14.6341463415,3,0,1,0,1,50,1.4,1.2,1.17,53.85,1,1.14,0.87,46.67,7.1733333333,7.1571428571,7.148,7.16,1.2,0.2857142857,-0.9142857143,-1.3333333333
22,12/02/1986,1986,12,7.08,7.08,7.08,7.08,-1.39,-0.98,-0.98,-0.98,-1.26,-1.53,-0.53,-0.48,0.06,-1.56,0,0.1,0,0,0.1,0,0,0.1,0,7.08,7.1366666667,0.0377777778,-100,7.142,0.0248,-166.6666666667,7.1522222222,0.0269135802,-178.8990825688,0,10,1,3.33,0.3,23.08,1.4,2,0.7,41.18,1,2.57,0.39,28,7.1522222222,7.1414285714,7.142,7.1366666667,-0.5333333333,-0.4761904762,0.0571428571,-1.5555555556
23,12/03/1986,1986,12,7.06,7.06,7.06,7.06,-0.28,-1.67,-1.67,-1.26,-0.7,-1.81,-1.73,-1.9,-0.17,-3.11,0,0.12,0,0,0.12,0,0,0.12,0,7.06,7.1066666667,0.0488888889,-63.6363636364,7.124,0.0432,-98.7654320988,7.1377777778,0.0362962963,-142.8571428571,0,2,1,4,0.25,20,0.6,2.4,0.25,20,1,2.57,0.39,28,7.1377777778,7.1257142857,7.124,7.1066666667,-1.7333333333,-1.9047619048,-0.1714285714,-3.1111111111
