ID,Date,Open,High,Low,Close,Volume,Adj Close
1,10/30/1986,7.31,7.31,7.31,7.31,1,7.31
2,10/31/1986,7.34,7.34,7.34,7.34,2,7.34
3,11/3/1986,7.29,7.29,7.29,7.29,3,7.29
4,11/4/1986,7.31,7.31,7.31,7.31,4,7.31
5,11/5/1986,7.24,7.24,7.24,7.24,5,7.24
6,11/6/1986,7.32,7.32,7.32,7.32,6,7.32
7,11/7/1986,7.4,7.4,7.4,7.4,7,7.4
8,11/10/1986,7.38,7.38,7.38,7.38,8,7.38
9,11/12/1986,7.35,7.35,7.35,7.35,9,7.35
10,11/13/1986,7.33,7.33,7.33,7.33,10,7.33
11,11/14/1986,7.29,7.29,7.29,7.29,11,7.29
12,11/17/1986,7.22,7.22,7.22,7.22,12,7.22
13,11/18/1986,7.27,7.27,7.27,7.27,13,7.27
14,11/19/1986,7.19,7.19,7.19,7.19,14,7.19
15,11/20/1986,7.19,7.19,7.19,7.19,15,7.19
16,11/21/1986,7.17,7.17,7.17,7.17,16,7.17
17,11/24/1986,7.11,7.11,7.11,7.11,17,7.11
18,11/25/1986,7.15,7.15,7.15,7.15,18,7.15
19,11/26/1986,7.15,7.15,7.15,7.15,19,7.15
20,11/28/1986,7.15,7.15,7.15,7.15,20,7.15
21,12/1/1986,7.18,7.18,7.18,7.18,21,7.18
22,12/2/1986,7.08,7.08,7.08,7.08,22,7.08
23,12/3/1986,7.06,7.06,7.06,7.06,23,7.06
24,12/4/1986,7.01,7.01,7.01,7.01,24,7.01
25,12/5/1986,7.12,7.12,7.12,7.12,25,7.12
26,12/8/1986,7.1,7.1,7.1,7.1,26,7.1
27,12/9/1986,7.07,7.07,7.07,7.07,27,7.07
28,12/10/1986,7.05,7.05,7.05,7.05,28,7.05
29,12/11/1986,7.12,7.12,7.12,7.12,29,7.12
30,12/12/1986,7.13,7.13,7.13,7.13,30,7.13
31,12/15/1986,7.15,7.15,7.15,7.15,31,7.15
32,12/16/1986,7.12,7.12,7.12,7.12,32,7.12
33,12/17/1986,7.12,7.12,7.12,7.12,33,7.12
34,12/18/1986,7.11,7.11,7.11,7.11,34,7.11
35,12/19/1986,7.1,7.1,7.1,7.1,35,7.1
36,12/22/1986,7.1,7.1,7.1,7.1,36,7.1
37,12/23/1986,7.08,7.08,7.08,7.08,37,7.08
38,12/24/1986,7.07,7.07,7.07,7.07,38,7.07
39,12/26/1986,7.08,7.08,7.08,7.08,39,7.08
40,12/29/1986,7.17,7.17,7.17,7.17,40,7.17
41,12/30/1986,7.23,7.23,7.23,7.23,41,7.23
42,12/31/1986,7.23,7.23,7.23,7.23,42,7.23
43,1/2/1987,7.18,7.18,7.18,7.18,43,7.18
44,1/5/1987,7.08,7.08,7.08,7.08,44,7.08
45,1/6/1987,7.08,7.08,7.08,7.08,45,7.08
46,1/7/1987,7.05,7.05,7.05,7.05,46,7.05
47,1/8/1987,7.04,7.04,7.04,7.04,47,7.04
48,1/9/1987,7.01,7.01,7.01,7.01,48,7.01
49,1/12/1987,7.05,7.05,7.05,7.05,49,7.05
50,1/13/1987,7.1,7.1,7.1,7.1,50,7.1
51,1/14/1987,7.11,7.11,7.11,7.11,51,7.11
52,1/15/1987,7.08,7.08,7.08,7.08,52,7.08
53,1/16/1987,7.03,7.03,7.03,7.03,53,7.03
54,1/20/1987,7.01,7.01,7.01,7.01,54,7.01
55,1/21/1987,7.01,7.01,7.01,7.01,55,7.01
56,1/22/1987,7.03,7.03,7.03,7.03,56,7.03
57,1/23/1987,7.06,7.06,7.06,7.06,57,7.06
58,1/26/1987,7.17,7.17,7.17,7.17,58,7.17
59,1/27/1987,7.16,7.16,7.16,7.16,59,7.16
60,1/28/1987,7.13,7.13,7.13,7.13,60,7.13
61,1/29/1987,7.13,7.13,7.13,7.13,61,7.13
62,1/30/1987,7.18,7.18,7.18,7.18,62,7.18
63,2/2/1987,7.23,7.23,7.23,7.23,63,7.23
64,2/3/1987,7.25,7.25,7.25,7.25,64,7.25
65,2/4/1987,7.23,7.23,7.23,7.23,65,7.23
66,2/5/1987,7.2,7.2,7.2,7.2,66,7.2
67,2/6/1987,7.19,7.19,7.19,7.19,67,7.19
68,2/9/1987,7.25,7.25,7.25,7.25,68,7.25
69,2/10/1987,7.33,7.33,7.33,7.33,69,7.33
70,2/11/1987,7.37,7.37,7.37,7.37,70,7.37
71,2/12/1987,7.31,7.31,7.31,7.31,71,7.31
72,2/13/1987,7.28,7.28,7.28,7.28,72,7.28
73,2/17/1987,7.33,7.33,7.33,7.33,73,7.33
74,2/18/1987,7.3,7.3,7.3,7.3,74,7.3
75,2/19/1987,7.23,7.23,7.23,7.23,75,7.23
76,2/20/1987,7.24,7.24,7.24,7.24,76,7.24
77,2/23/1987,7.23,7.23,7.23,7.23,77,7.23
78,2/24/1987,7.18,7.18,7.18,7.18,78,7.18
79,2/25/1987,7.21,7.21,7.21,7.21,79,7.21
80,2/26/1987,7.21,7.21,7.21,7.21,80,7.21
81,2/27/1987,7.19,7.19,7.19,7.19,81,7.19
82,3/2/1987,7.17,7.17,7.17,7.17,82,7.17
83,3/3/1987,7.21,7.21,7.21,7.21,83,7.21
84,3/4/1987,7.14,7.14,7.14,7.14,84,7.14
85,3/5/1987,7.16,7.16,7.16,7.16,85,7.16
86,3/6/1987,7.23,7.23,7.23,7.23,86,7.23
87,3/9/1987,7.23,7.23,7.23,7.23,87,7.23
88,3/10/1987,7.23,7.23,7.23,7.23,88,7.23
89,3/11/1987,7.23,7.23,7.23,7.23,89,7.23
90,3/12/1987,7.22,7.22,7.22,7.22,90,7.22
91,3/13/1987,7.19,7.19,7.19,7.19,91,7.19
92,3/16/1987,7.22,7.22,7.22,7.22,92,7.22
93,3/17/1987,7.2,7.2,7.2,7.2,93,7.2
94,3/18/1987,7.21,7.21,7.21,7.21,94,7.21
95,3/19/1987,7.21,7.21,7.21,7.21,95,7.21
96,3/20/1987,7.22,7.22,7.22,7.22,96,7.22
97,3/23/1987,7.25,7.25,7.25,7.25,97,7.25
98,3/24/1987,7.27,7.27,7.27,7.27,98,7.27
99,3/25/1987,7.26,7.26,7.26,7.26,99,7.26
100,3/26/1987,7.24,7.24,7.24,7.24,100,7.24
101,3/27/1987,7.33,7.33,7.33,7.33,101,7.33
102,3/30/1987,7.54,7.54,7.54,7.54,102,7.54
103,3/31/1987,7.51,7.51,7.51,7.51,103,7.51
104,4/1/1987,7.59,7.59,7.59,7.59,104,7.59
105,4/2/1987,7.59,7.59,7.59,7.59,105,7.59
106,4/3/1987,7.59,7.59,7.59,7.59,106,7.59
107,4/6/1987,7.54,7.54,7.54,7.54,107,7.54
108,4/7/1987,7.62,7.62,7.62,7.62,108,7.62
109,4/8/1987,7.61,7.61,7.61,7.61,109,7.61
110,4/9/1987,7.78,7.78,7.78,7.78,110,7.78
111,4/10/1987,7.98,7.98,7.98,7.98,111,7.98
112,4/13/1987,8.07,8.07,8.07,8.07,112,8.07
113,4/14/1987,8.28,8.28,8.28,8.28,113,8.28
114,4/15/1987,8.1,8.1,8.1,8.1,114,8.1
115,4/16/1987,8.03,8.03,8.03,8.03,115,8.03
