ID,Date,Close,Clo_by_High_min95,Close_by_Low_min95,1D_r,1D_r_cat,2D_r,2D_r_cat,3D_r,3D_r_cat,5D_r,5D_r_cat,macd_5_3_1,macd_5_3_2,RSI_3,RSI_3_Category,STOC_3_K,STOCK_3_K_CAT,STOCK_7_K-D,CCI_3,CCI_5,NEXTDRET
7754,10/13/2016,2132.550049,4.74,5.84,-0.31,NP50,-0.2,NP25,-1.44,N15,-1.31,N15,-4.45,-0.38,22.7,SLOW,38.1,LOW,6.75,-100,-104.83,TPOS
7755,10/14/2016,2132.97998,4.25,5,0.02,PP10,-0.29,NP50,-0.18,NP25,-0.96,N1,-3.83,0.08,24.5,SLOW,53,HIGH,2.9,44.73,-31.84,TNEG
7756,10/17/2016,2126.5,4.57,5.1,-0.3,NP50,-0.28,NP50,-0.59,N1,-1.72,N25,-4.07,-0.05,16.1,SLOW,34.2,LOW,-7.61,-47.22,-81.12,TPOS
7757,10/18/2016,2139.600098,4.78,5.19,0.62,P10,0.31,PP50,0.33,PP50,0.13,PP25,-1.28,0.91,58.7,HIGH,61.3,HIGH,11.98,60.53,65.14,TPOS
7758,10/19/2016,2144.29,4.81,5.29,0.22,PP25,0.84,P10,0.53,P10,0.24,PP25,0.64,0.94,67.6,HIGH,82.7,HIGH,19.82,72.15,90.62,TNEG
7759,10/20/2016,2141.34,4.73,5.37,-0.14,NP25,0.08,PP10,0.7,P10,0.41,PP50,0.68,0.33,56.2,HIGH,52.7,HIGH,15.33,-31.63,42.23,TNEG
7760,10/21/2016,2141.16,4.93,5.52,-0.01,NP10,-0.15,NP25,0.07,PP10,0.38,PP50,0.55,0.07,55.3,HIGH,60.3,HIGH,4.35,-96.76,-3.87,TPOS
7761,10/24/2016,2151.33,4.84,5.21,0.47,PP50,0.47,PP50,0.33,PP50,1.17,P15,2.11,0.54,80.5,HIGH,86,HIGH,7.74,100,148.74,TNEG
7762,10/25/2016,2143.24,4.62,5.06,-0.38,NP50,0.1,PP10,0.09,PP10,0.17,PP25,0.93,-0.21,48.1,LOW,53.2,HIGH,-13.8,10.2,32.83,TNEG
7763,10/26/2016,2139.43,4.71,5.37,-0.18,NP25,-0.55,N1,-0.08,NP10,-0.23,NP25,-0.25,-0.47,37.5,LOW,33.8,LOW,-24.97,-100,-59.53,TNEG
7764,10/27/2016,2133.04,4.34,5.02,-0.3,NP50,-0.48,NP50,-0.85,N1,-0.39,NP50,-1.67,-0.63,24.1,SLOW,7.3,SLOW,-25.29,-63.91,-63.56,TNEG
7765,10/28/2016,2126.41,4.33,5.33,-0.31,NP50,-0.61,N1,-0.79,N1,-0.69,N1,-2.97,-0.64,15.5,SLOW,25.4,LOW,-3.32,-100,-121.71,TNEG
7766,10/31/2016,2126.18,4.67,5.03,-0.01,NP10,-0.32,NP50,-0.62,N1,-1.17,N15,-2.95,-0.21,15.2,SLOW,24.6,SLOW,2.22,-54.26,-86.26,TNEG
7767,11/1/2016,2102.5,3.64,5.01,-1.11,N15,-1.12,N15,-1.43,N15,-1.9,N25,-6.39,-1.22,4,SLOW,0.5,SLOW,-12.82,-100,-156.24,TNEG
7768,11/2/2016,2097.94,4.35,5.19,-0.22,NP25,-1.33,N15,-1.34,N15,-1.94,N25,-7.24,-0.69,3.3,SLOW,10,SLOW,-1.96,-87.6,-113.6,TNEG
7769,11/3/2016,2093.1,4.55,5.1,-0.23,NP25,-0.45,NP50,-1.56,N25,-1.87,N25,-7.12,-0.19,2.6,SLOW,5.2,SLOW,0.08,-81.09,-95.7,TNEG
7770,11/4/2016,2085.18,4.34,5.07,-0.38,NP50,-0.61,N1,-0.82,N1,-1.94,N25,-7.21,-0.09,1.7,SLOW,5,SLOW,-2.06,-100,-89.3,TPOS
7771,11/7/2016,2131.52,4.98,6.47,2.22,P25,1.84,P25,1.6,P25,0.25,PP50,1.68,2.93,75.8,HIGH,99,SHIGH,53.92,100,113.52,TPOS
7772,11/8/2016,2139.56,4.66,5.75,0.38,PP50,2.61,P100,2.22,P25,1.76,P25,5.71,2.32,79.8,HIGH,88.4,HIGH,30.26,78.91,114.91,TPOS
7773,11/9/2016,2163.26,4.68,6.78,1.11,P15,1.49,P15,3.74,P100,3.11,P100,10.05,2.22,88.3,HIGH,90.2,SHIGH,3.97,100,105.23,TPOS
7774,11/10/2016,2167.48,4.32,5.76,0.2,PP25,1.3,P15,1.69,P25,3.55,P100,10.52,0.9,89.5,HIGH,74.8,HIGH,-3.52,95.36,99.45,TNEG
7775,11/11/2016,2164.45,4.93,5.56,-0.14,NP25,0.06,PP10,1.16,P15,3.8,P100,8.42,-0.4,80.7,HIGH,68.7,HIGH,-4.42,9.1,58.54,TNEG
7776,11/14/2016,2164.2,4.67,5.38,-0.01,NP10,-0.15,NP25,0.04,PP10,1.53,P25,6.28,-0.85,79.7,HIGH,41.9,LOW,-1.19,-1.9,55.14,TPOS
7777,11/15/2016,2180.39,4.98,5.65,0.75,P10,0.74,P10,0.6,P10,1.91,P25,7.21,0.03,90.6,SHIGH,98.4,SHIGH,10.61,100,133.99,TNEG
7778,11/16/2016,2176.94,4.9,5.22,-0.16,NP25,0.59,P10,0.58,P10,0.63,P10,5.75,-0.48,77.3,HIGH,84.2,HIGH,0.82,51.55,84.77,TPOS
